idveiculo,dia,mes,diadasemana,hora,Velocidade,Longitude,Latitude,Eventos
68,3,4,7,0.74634259259,58,-44.21900177,-2.581850052,3
70,3,5,2,0.22991898148,37,-44.21900177,-2.573820114,3
73,27,4,3,0.19325231481,47,-44.21900177,-2.581840038,3
83,29,4,5,0.25135416667,22,-44.21900177,-2.499429941,3
94,13,5,5,0.62961805556,51,-44.21900177,-2.581899881,3
133,31,5,2,0.89054398148,32,-44.21900177,-2.581880093,3
160,26,5,4,0.89152777778,29,-44.21900177,-2.581880093,3
166,5,5,4,0.90228009259,19,-44.21900177,-2.552959919,3
22,20,5,5,0.69733796296,31,-44.21889877,-2.582079887,3
27,20,4,3,0.24511574074,39,-44.21889877,-2.511379957,3
46,4,5,3,0.36170138889,45,-44.21889877,-2.572940111,3
64,13,4,3,0.23179398148,29,-44.21889877,-2.525810003,3
71,21,4,4,0.56560185185,31,-44.21889877,-2.581969976,3
85,14,5,6,0.89686342593,40,-44.21889877,-2.540879965,3
171,21,5,6,0.28293981481,17,-44.21889877,-2.568670034,3
199,31,3,4,0.25861111111,30,-44.21889877,-2.551990032,3
212,31,5,2,0.69377314815,54,-44.21889877,-2.581949949,3
221,28,5,6,0.88101851852,33,-44.21889877,-2.582040071,3
25,6,5,5,0.76081018519,19,-44.21879959,-2.534830093,3
60,14,5,6,0.72775462963,35,-44.21879959,-2.511460066,3
64,11,4,1,0.70521990741,43,-44.21879959,-2.58197999,3
70,11,5,3,0.60315972222,27,-44.21879959,-2.582040071,3
71,27,4,3,0.22986111111,42,-44.21879959,-2.582079887,3
73,5,5,4,0.88341435185,31,-44.21879959,-2.582079887,3
80,26,3,6,0.87019675926,33,-44.21879959,-2.581959963,3
83,16,5,1,0.35721064815,33,-44.21879959,-2.505179882,3
133,19,5,4,0.89564814815,35,-44.21879959,-2.582050085,3
135,28,5,6,0.40203703704,32,-44.21879959,-2.582099915,3
199,26,3,6,0.40465277778,39,-44.21879959,-2.582079887,3
23,3,5,2,0.74289351852,40,-44.21870041,-2.582230091,3
60,5,5,4,0.75369212963,38,-44.21870041,-2.507550001,3
83,13,5,5,0.24890046296,27,-44.21870041,-2.505189896,3
103,4,5,3,0.26152777778,53,-44.21870041,-2.582129955,3
171,21,5,6,0.26190972222,33,-44.21870041,-2.598999977,3
188,26,5,4,0.89913194444,43,-44.21870041,-2.582119942,3
199,23,3,3,0.86348379630,34,-44.21870041,-2.572949886,3
226,8,4,5,0.90865740741,40,-44.21870041,-2.582149982,3
4,5,5,4,0.92230324074,38,-44.21860123,-2.582240105,3
